interaction_id,customer_name,interaction_type,interaction_date,interaction_channel,feedback_score
480,Ivy Carter,Product Inquiry,2023-11-20,Phone,10
481,Alice Johnson,General Inquiry,2022-10-21,Phone,2
482,Frank Miller,Order Issue,2023-11-02,In-store,7
483,Frank Miller,Product Inquiry,2024-02-19,Email,6
484,Jack Thompson,General Inquiry,2023-09-14,Email,5
485,Alice Johnson,Order Issue,2023-06-01,Live Chat,9
486,Ivy Carter,Technical Support,2022-03-13,Email,8
487,Charlie Brown,Feedback,2022-08-24,In-store,10
488,Grace Lee,General Inquiry,2023-12-02,Phone,3
489,Bob Williams,Order Issue,2023-03-04,Phone,8
490,David Smith,Technical Support,2023-01-23,Email,8
491,Jack Thompson,Order Issue,2022-12-24,Social Media,5
492,Alice Johnson,Feedback,2023-08-10,In-store,3
493,Emily Davis,General Inquiry,2023-09-11,Live Chat,1
494,Henry Wilson,General Inquiry,2023-11-20,Email,8
495,Frank Miller,Order Issue,2022-02-13,Email,9
496,Emily Davis,Product Inquiry,2022-07-10,Phone,6
497,Alice Johnson,Order Issue,2023-03-10,Social Media,6
498,Ivy Carter,Feedback,2023-06-25,Social Media,2
499,Henry Wilson,Order Issue,2023-11-20,In-store,9
500,Emily Davis,Product Inquiry,2023-03-04,Phone,10
501,Grace Lee,Technical Support,2023-07-21,Social Media,2
502,Frank Miller,Product Inquiry,2023-10-12,Social Media,8
503,Frank Miller,General Inquiry,2022-12-19,Social Media,3
504,Grace Lee,Technical Support,2022-04-24,Email,3
505,Bob Williams,Feedback,2022-11-15,Phone,10
506,Emily Davis,Technical Support,2022-01-28,Phone,9
507,Henry Wilson,General Inquiry,2023-11-03,Live Chat,2
508,Jack Thompson,Order Issue,2023-06-22,Live Chat,9
509,Jack Thompson,Order Issue,2022-11-04,Social Media,2
510,Emily Davis,Product Inquiry,2024-01-09,Social Media,9
511,David Smith,Feedback,2022-05-23,Email,6
512,Bob Williams,Technical Support,2023-03-04,Email,7
513,Charlie Brown,General Inquiry,2024-02-22,Live Chat,3
514,Grace Lee,Product Inquiry,2023-05-20,In-store,8
515,Alice Johnson,Technical Support,2023-02-27,In-store,9
516,Alice Johnson,Technical Support,2022-07-20,Phone,6
517,Emily Davis,General Inquiry,2022-07-25,Email,8
518,Jack Thompson,Order Issue,2023-10-07,Live Chat,7
519,Alice Johnson,Feedback,2023-11-28,Social Media,2
520,David Smith,Feedback,2023-12-01,In-store,9
521,Grace Lee,Technical Support,2024-02-17,Social Media,6
522,Emily Davis,Product Inquiry,2023-02-09,Social Media,2
523,Emily Davis,Feedback,2022-02-15,In-store,3
524,Jack Thompson,Order Issue,2024-01-30,Email,1
525,Charlie Brown,Technical Support,2022-04-11,Live Chat,9
526,Emily Davis,Order Issue,2022-10-02,Live Chat,6
527,Alice Johnson,General Inquiry,2023-08-21,Phone,10
528,Alice Johnson,Feedback,2023-09-09,Social Media,5
529,David Smith,General Inquiry,2024-02-24,Email,2
530,Grace Lee,General Inquiry,2024-01-26,Social Media,5
531,Grace Lee,Order Issue,2023-05-29,Email,9
532,Grace Lee,General Inquiry,2023-09-17,Social Media,7
533,Alice Johnson,Product Inquiry,2022-04-26,Phone,9
534,Grace Lee,Product Inquiry,2023-01-01,Social Media,9
535,Bob Williams,Product Inquiry,2022-02-27,Live Chat,1
536,Jack Thompson,Feedback,2022-02-23,Live Chat,6
537,Alice Johnson,Technical Support,2023-10-21,Live Chat,7
538,Ivy Carter,General Inquiry,2022-11-30,Email,4
539,Frank Miller,Technical Support,2022-07-31,Email,3
540,Alice Johnson,Order Issue,2024-01-02,In-store,5
541,Jack Thompson,Feedback,2022-12-10,In-store,6
542,Henry Wilson,Product Inquiry,2022-01-05,Phone,10
543,Grace Lee,General Inquiry,2022-04-29,Live Chat,5
544,Emily Davis,General Inquiry,2022-07-16,Email,9
545,Ivy Carter,Product Inquiry,2022-01-19,In-store,4
546,Frank Miller,Feedback,2024-01-17,Live Chat,10
547,Alice Johnson,General Inquiry,2023-07-17,Phone,5
548,Emily Davis,Order Issue,2023-10-03,Social Media,9
549,Grace Lee,Order Issue,2022-08-24,Social Media,10
550,Charlie Brown,Product Inquiry,2022-01-29,In-store,8
551,Ivy Carter,Product Inquiry,2023-10-30,In-store,9
552,Bob Williams,Product Inquiry,2024-01-17,In-store,4
553,David Smith,Feedback,2023-06-07,Phone,10
554,Grace Lee,General Inquiry,2023-12-02,Social Media,2
555,Henry Wilson,Product Inquiry,2022-12-05,Live Chat,3
556,Ivy Carter,Product Inquiry,2022-09-08,Social Media,9
557,Alice Johnson,Technical Support,2022-11-03,Email,3
558,David Smith,Technical Support,2023-06-04,Phone,2
559,Charlie Brown,Feedback,2022-06-17,Social Media,1
560,Alice Johnson,Feedback,2023-07-03,Phone,5
561,David Smith,Technical Support,2023-06-23,Live Chat,10
562,Ivy Carter,Order Issue,2023-09-08,In-store,3
563,Henry Wilson,Product Inquiry,2023-02-25,Social Media,4
564,Frank Miller,Order Issue,2024-01-01,In-store,3
565,Emily Davis,Technical Support,2024-01-30,Live Chat,1
566,Charlie Brown,Order Issue,2022-12-22,In-store,5
567,David Smith,Technical Support,2023-06-07,Email,9
568,Grace Lee,Feedback,2023-10-28,Phone,9
569,Emily Davis,Product Inquiry,2023-09-03,Phone,5
570,Bob Williams,Product Inquiry,2022-04-17,Email,9
571,Frank Miller,Technical Support,2022-05-16,Live Chat,5
572,Jack Thompson,Order Issue,2023-02-02,Email,8
573,Alice Johnson,Feedback,2022-08-15,Social Media,9
574,Bob Williams,Technical Support,2022-09-11,Phone,5
575,Grace Lee,Order Issue,2023-11-04,In-store,5
576,Ivy Carter,Product Inquiry,2022-04-11,Phone,8
577,Emily Davis,Technical Support,2023-06-07,Social Media,8
578,Jack Thompson,Order Issue,2023-03-14,Phone,1
579,Alice Johnson,Order Issue,2023-07-04,Social Media,7
580,Emily Davis,Product Inquiry,2023-11-05,Phone,1
581,Henry Wilson,Order Issue,2024-01-08,In-store,6
582,Alice Johnson,Order Issue,2023-01-12,In-store,2
583,David Smith,Product Inquiry,2023-06-10,Email,8
584,David Smith,Product Inquiry,2022-09-03,In-store,8
585,Frank Miller,Technical Support,2022-09-08,Social Media,2
586,Jack Thompson,Order Issue,2022-09-15,Email,4
587,Bob Williams,Product Inquiry,2023-04-10,Social Media,4
588,Frank Miller,General Inquiry,2023-06-23,Live Chat,2
589,Henry Wilson,Order Issue,2023-11-17,Social Media,3
590,Henry Wilson,Feedback,2023-04-30,Live Chat,6
591,Charlie Brown,Feedback,2023-12-31,Live Chat,8
592,Bob Williams,Feedback,2023-04-17,Phone,8
593,David Smith,Product Inquiry,2022-03-23,Live Chat,9
594,Bob Williams,Feedback,2023-01-14,Phone,2
595,Alice Johnson,Order Issue,2022-08-04,Live Chat,3
596,Emily Davis,Product Inquiry,2022-04-16,Phone,6
597,Jack Thompson,Order Issue,2023-01-20,Live Chat,8
598,Charlie Brown,Feedback,2022-01-09,In-store,4
599,David Smith,General Inquiry,2023-09-10,Email,3
600,Bob Williams,Feedback,2022-07-07,In-store,9
601,Bob Williams,Feedback,2024-01-08,Social Media,3
602,Charlie Brown,General Inquiry,2024-01-09,Email,10
603,Bob Williams,General Inquiry,2023-11-16,Live Chat,3
604,Frank Miller,Order Issue,2023-01-16,Live Chat,8
605,Frank Miller,General Inquiry,2022-06-27,Phone,6
606,Frank Miller,Product Inquiry,2023-07-22,Live Chat,3
607,Alice Johnson,General Inquiry,2023-08-30,Email,4
608,Emily Davis,Feedback,2022-07-23,Email,8
609,Alice Johnson,Order Issue,2023-04-04,In-store,5
610,Charlie Brown,General Inquiry,2023-03-23,Live Chat,10
611,Grace Lee,Technical Support,2022-03-02,Social Media,8
612,Henry Wilson,Order Issue,2022-07-18,In-store,2
613,Emily Davis,General Inquiry,2023-03-07,In-store,2
614,Henry Wilson,Order Issue,2022-02-01,Social Media,8
615,Charlie Brown,Order Issue,2022-09-05,Live Chat,7
616,Ivy Carter,Order Issue,2023-04-06,Social Media,2
617,Grace Lee,Product Inquiry,2023-04-22,Live Chat,8
618,Frank Miller,General Inquiry,2023-02-07,Phone,4
619,Bob Williams,Product Inquiry,2022-05-26,Phone,1
620,Alice Johnson,General Inquiry,2023-12-25,Email,9
621,David Smith,Technical Support,2022-12-26,Social Media,9
622,Alice Johnson,Technical Support,2023-11-24,Email,6
623,Charlie Brown,Product Inquiry,2023-04-01,Email,10
624,Ivy Carter,General Inquiry,2023-12-17,In-store,2
625,Emily Davis,Order Issue,2022-09-10,Live Chat,8
626,Grace Lee,Order Issue,2022-11-08,Phone,1
627,Grace Lee,General Inquiry,2022-07-22,Phone,3
628,David Smith,Feedback,2023-04-03,Email,4
629,Henry Wilson,Feedback,2022-12-19,Email,6
630,Jack Thompson,Order Issue,2022-07-16,In-store,6
631,Jack Thompson,Product Inquiry,2022-11-15,Phone,4
632,Ivy Carter,Technical Support,2022-09-20,Live Chat,6
633,Henry Wilson,Order Issue,2022-12-04,Live Chat,9
634,Emily Davis,General Inquiry,2023-04-24,Social Media,1
635,Jack Thompson,Technical Support,2022-08-29,Email,9
636,Grace Lee,General Inquiry,2022-06-30,Social Media,10
637,David Smith,General Inquiry,2022-03-03,Phone,5
638,David Smith,Technical Support,2022-02-17,Live Chat,8
639,Ivy Carter,General Inquiry,2023-02-16,Email,10
640,David Smith,General Inquiry,2024-02-07,Email,8
641,Emily Davis,Technical Support,2022-12-23,Live Chat,9
642,David Smith,Feedback,2023-02-18,Live Chat,2
643,Jack Thompson,Feedback,2023-02-19,Phone,8
644,Frank Miller,General Inquiry,2023-03-25,Live Chat,4
645,Frank Miller,Order Issue,2022-07-03,Phone,5
646,Alice Johnson,Technical Support,2024-02-27,Live Chat,1
647,Emily Davis,General Inquiry,2023-04-11,Live Chat,7
648,Charlie Brown,Product Inquiry,2023-01-02,In-store,4
649,Ivy Carter,Order Issue,2022-11-09,Live Chat,10
650,David Smith,Order Issue,2022-04-13,In-store,4
651,Ivy Carter,Feedback,2023-04-03,Email,8
652,Grace Lee,Order Issue,2022-05-05,Live Chat,6
653,Emily Davis,Technical Support,2022-10-24,Email,8
654,David Smith,Product Inquiry,2024-01-07,Live Chat,2
655,Henry Wilson,Product Inquiry,2023-03-26,Live Chat,6
656,Ivy Carter,Order Issue,2023-04-15,Live Chat,9
657,Grace Lee,Feedback,2022-03-08,Live Chat,7
658,Henry Wilson,Product Inquiry,2023-06-10,Social Media,4
659,Frank Miller,Feedback,2023-07-04,Social Media,8
660,Bob Williams,Order Issue,2023-03-19,Email,6
661,Jack Thompson,Product Inquiry,2022-12-01,Live Chat,9
662,Ivy Carter,General Inquiry,2023-11-19,Social Media,8
663,Emily Davis,General Inquiry,2023-03-02,Live Chat,6
664,Charlie Brown,General Inquiry,2023-05-31,Email,1
665,Ivy Carter,Technical Support,2022-03-29,In-store,4
666,Bob Williams,Order Issue,2023-02-15,Live Chat,8
667,Alice Johnson,Technical Support,2023-12-12,Social Media,6
668,Emily Davis,General Inquiry,2023-01-23,Live Chat,3
669,Jack Thompson,Product Inquiry,2022-10-06,Phone,7
670,Ivy Carter,Product Inquiry,2022-06-10,Phone,7
671,David Smith,Order Issue,2023-01-30,Live Chat,9
672,Charlie Brown,Technical Support,2022-05-30,Social Media,7
673,Alice Johnson,Order Issue,2023-03-02,In-store,2
674,Bob Williams,Product Inquiry,2023-03-04,Phone,4
675,Charlie Brown,Technical Support,2022-07-03,Email,7
676,Grace Lee,Product Inquiry,2022-09-09,Live Chat,8
677,Bob Williams,Product Inquiry,2023-01-19,Email,5
678,Grace Lee,General Inquiry,2022-04-14,Email,10
679,Henry Wilson,Order Issue,2022-05-13,In-store,2
680,Henry Wilson,Feedback,2023-02-20,Social Media,6
681,Jack Thompson,Feedback,2022-03-30,Live Chat,9
682,Ivy Carter,Order Issue,2023-01-02,Live Chat,2
683,Alice Johnson,Technical Support,2023-08-10,Email,2
684,Frank Miller,Feedback,2023-11-06,Social Media,5
685,Ivy Carter,General Inquiry,2022-10-02,Phone,8
686,Ivy Carter,General Inquiry,2022-10-16,Phone,3
687,Ivy Carter,General Inquiry,2023-08-20,Email,4
688,Alice Johnson,Order Issue,2024-02-03,Social Media,5
689,Alice Johnson,Order Issue,2023-06-25,Live Chat,10
690,Frank Miller,Technical Support,2022-01-31,Live Chat,7
691,Charlie Brown,Feedback,2022-02-17,Phone,10
692,Bob Williams,Order Issue,2022-12-03,In-store,1
693,Bob Williams,Technical Support,2022-03-08,Phone,5
694,David Smith,Product Inquiry,2023-02-17,Social Media,2
695,David Smith,General Inquiry,2022-07-25,In-store,6
696,Bob Williams,General Inquiry,2022-04-21,Social Media,6
697,Ivy Carter,Product Inquiry,2023-10-27,In-store,7
698,Alice Johnson,Technical Support,2022-01-31,Phone,6
699,Henry Wilson,Order Issue,2023-07-26,In-store,9
700,Henry Wilson,Order Issue,2022-10-30,Email,3
701,Jack Thompson,Order Issue,2022-02-25,Live Chat,4
702,Ivy Carter,Product Inquiry,2022-04-14,Live Chat,2
703,Henry Wilson,Technical Support,2022-05-04,Social Media,7
704,Emily Davis,Product Inquiry,2022-10-03,Email,5
705,Frank Miller,Product Inquiry,2022-03-09,In-store,4
706,Frank Miller,Order Issue,2022-09-12,Phone,8
707,Emily Davis,Product Inquiry,2024-01-23,Email,2
708,Bob Williams,Feedback,2022-02-17,Live Chat,10
709,Frank Miller,Product Inquiry,2022-06-12,Live Chat,9
710,Alice Johnson,Technical Support,2023-08-15,Live Chat,6
711,Grace Lee,Technical Support,2024-02-13,In-store,9
712,Frank Miller,Product Inquiry,2022-04-22,Phone,7
713,Jack Thompson,General Inquiry,2022-01-01,Phone,2
714,Grace Lee,Technical Support,2023-12-14,In-store,2
715,Charlie Brown,General Inquiry,2023-06-03,Phone,9
716,Alice Johnson,General Inquiry,2022-08-09,Social Media,9
717,David Smith,Order Issue,2022-02-03,Social Media,1
718,Charlie Brown,Technical Support,2023-09-09,Social Media,2
719,Ivy Carter,General Inquiry,2023-10-02,Email,1
720,Ivy Carter,Feedback,2022-08-05,Phone,9
721,Alice Johnson,Technical Support,2022-11-17,Email,9
722,Jack Thompson,General Inquiry,2023-11-30,Phone,1
723,Frank Miller,General Inquiry,2022-04-25,In-store,6
724,Grace Lee,Technical Support,2024-01-25,Live Chat,10
725,Henry Wilson,Product Inquiry,2022-08-22,Email,6
726,Ivy Carter,Product Inquiry,2024-01-09,Live Chat,5
727,Alice Johnson,General Inquiry,2022-10-09,Phone,1
728,Ivy Carter,Order Issue,2023-09-28,Email,5
729,Ivy Carter,Feedback,2023-02-19,Email,1
730,Jack Thompson,General Inquiry,2023-06-10,In-store,4
731,Emily Davis,Technical Support,2024-02-08,Social Media,2
732,Grace Lee,Product Inquiry,2024-01-03,Phone,5
733,Jack Thompson,Product Inquiry,2024-01-11,Phone,4
734,Frank Miller,Product Inquiry,2023-09-27,Email,10
735,David Smith,General Inquiry,2022-08-28,Email,7
736,Ivy Carter,General Inquiry,2022-07-16,Phone,3
737,Grace Lee,General Inquiry,2022-03-02,In-store,9
738,Henry Wilson,Order Issue,2022-03-18,In-store,10
739,Charlie Brown,Technical Support,2022-08-29,Email,1
740,Emily Davis,Order Issue,2023-11-09,Live Chat,1
741,David Smith,Technical Support,2023-02-06,Phone,5
742,Charlie Brown,Technical Support,2022-10-13,In-store,7
743,Grace Lee,Product Inquiry,2022-10-07,In-store,1
744,Emily Davis,General Inquiry,2022-05-30,Phone,7
745,Emily Davis,Technical Support,2023-11-11,Email,10
746,Ivy Carter,Order Issue,2022-03-18,Live Chat,10
747,Charlie Brown,General Inquiry,2023-06-28,In-store,7
748,Frank Miller,Order Issue,2023-06-26,Phone,10
749,Alice Johnson,Feedback,2023-08-22,In-store,6
750,David Smith,Product Inquiry,2023-04-13,Social Media,3
751,Alice Johnson,Order Issue,2022-06-18,Live Chat,2
752,Charlie Brown,General Inquiry,2023-09-01,Phone,5
753,Bob Williams,General Inquiry,2024-01-11,Phone,6
754,Charlie Brown,Order Issue,2023-10-11,In-store,8
755,Henry Wilson,Order Issue,2023-06-19,Phone,3
756,Jack Thompson,Order Issue,2023-09-29,Phone,7
757,Henry Wilson,General Inquiry,2023-02-13,Live Chat,3
758,Grace Lee,General Inquiry,2023-10-05,Email,10
759,Ivy Carter,Product Inquiry,2023-11-07,Live Chat,9
760,Henry Wilson,Feedback,2022-12-28,Live Chat,3
761,Henry Wilson,Order Issue,2022-05-13,In-store,4
762,Alice Johnson,Product Inquiry,2022-07-03,Email,7
763,Grace Lee,Technical Support,2023-04-26,Email,1
764,Emily Davis,Technical Support,2023-11-21,Email,1
765,Emily Davis,Order Issue,2023-02-01,Social Media,5
766,Emily Davis,Product Inquiry,2023-08-13,In-store,10
767,Grace Lee,Order Issue,2022-10-02,In-store,3
768,Henry Wilson,Feedback,2023-09-08,In-store,3
769,David Smith,Feedback,2022-06-15,Social Media,2
770,David Smith,Order Issue,2022-02-16,Live Chat,6
771,Emily Davis,General Inquiry,2022-05-25,Live Chat,3
772,Grace Lee,Product Inquiry,2024-02-21,Email,10
773,Frank Miller,Feedback,2023-01-13,Email,10
774,Emily Davis,Technical Support,2023-06-17,Email,2
775,Ivy Carter,Feedback,2023-10-12,Live Chat,5
776,Grace Lee,Product Inquiry,2022-01-01,Live Chat,3
777,Bob Williams,Feedback,2023-04-13,Phone,5
778,Grace Lee,Feedback,2022-10-25,In-store,7
779,Ivy Carter,Order Issue,2024-01-25,In-store,3
780,Jack Thompson,Product Inquiry,2022-06-20,Email,7
781,Alice Johnson,General Inquiry,2023-10-23,In-store,4
782,Charlie Brown,Technical Support,2024-02-18,In-store,9
783,Grace Lee,Technical Support,2023-11-07,In-store,1
784,Alice Johnson,Technical Support,2023-07-15,Live Chat,4
785,Ivy Carter,Product Inquiry,2023-02-23,Email,3
786,Bob Williams,Product Inquiry,2022-01-16,Live Chat,10
787,Henry Wilson,General Inquiry,2022-09-09,Live Chat,1
788,Henry Wilson,Product Inquiry,2022-03-30,Phone,1
789,David Smith,Technical Support,2023-10-03,Email,2
790,Ivy Carter,Technical Support,2022-11-06,In-store,5
791,Frank Miller,Order Issue,2023-07-22,Phone,6
792,Ivy Carter,Technical Support,2023-03-19,Live Chat,3
793,Grace Lee,Product Inquiry,2023-11-01,In-store,5
794,Emily Davis,Order Issue,2023-11-26,Phone,6
795,Ivy Carter,Technical Support,2022-04-20,Phone,2
796,Alice Johnson,Order Issue,2024-02-20,In-store,2
797,Henry Wilson,Order Issue,2023-03-17,Live Chat,7
798,David Smith,Order Issue,2022-06-29,Live Chat,9
799,Emily Davis,Feedback,2022-05-07,In-store,1
800,Charlie Brown,Technical Support,2022-05-06,In-store,4
801,Alice Johnson,Feedback,2022-04-06,In-store,10
802,Charlie Brown,Feedback,2024-01-05,Email,1
803,Bob Williams,Product Inquiry,2022-01-31,Social Media,5
804,Emily Davis,Feedback,2022-09-24,Phone,1
805,Ivy Carter,Feedback,2023-11-23,Phone,4
806,Jack Thompson,Product Inquiry,2023-07-26,Email,5
807,Grace Lee,Technical Support,2023-02-07,In-store,9
808,Jack Thompson,Feedback,2023-07-22,Phone,8
809,Charlie Brown,Order Issue,2022-05-12,Social Media,4
810,Frank Miller,Technical Support,2022-02-07,Live Chat,1
811,Ivy Carter,Technical Support,2022-07-02,Social Media,5
812,Grace Lee,Feedback,2023-03-16,Phone,4
813,Bob Williams,Order Issue,2022-11-15,In-store,6
814,Ivy Carter,General Inquiry,2022-09-12,In-store,3
815,Frank Miller,Order Issue,2023-12-10,Live Chat,9
816,Ivy Carter,General Inquiry,2023-11-24,Phone,10
817,Emily Davis,Product Inquiry,2023-09-14,Social Media,8
818,Henry Wilson,General Inquiry,2023-01-18,Social Media,5
819,Henry Wilson,Technical Support,2023-10-21,Live Chat,4
820,Ivy Carter,Feedback,2022-04-16,Live Chat,1
821,David Smith,Order Issue,2023-04-23,Social Media,5
822,Grace Lee,General Inquiry,2023-04-02,Social Media,4
823,Grace Lee,Product Inquiry,2022-01-17,Social Media,9
824,Grace Lee,Product Inquiry,2023-09-15,Phone,5
825,Jack Thompson,Feedback,2022-07-05,Phone,2
826,Frank Miller,Feedback,2022-05-06,Live Chat,4
827,Frank Miller,General Inquiry,2023-04-14,Phone,6
828,Alice Johnson,General Inquiry,2023-02-08,Phone,7
829,David Smith,Feedback,2023-07-29,Phone,5
830,Grace Lee,Order Issue,2023-07-31,In-store,4
831,Emily Davis,General Inquiry,2022-01-08,Live Chat,7
832,Ivy Carter,Feedback,2023-01-29,Email,10
833,Charlie Brown,Order Issue,2024-01-07,Social Media,3
834,Frank Miller,Order Issue,2023-12-13,Email,8
835,Charlie Brown,Technical Support,2023-02-20,Live Chat,2
836,Frank Miller,Technical Support,2024-02-18,Email,9
837,Emily Davis,Technical Support,2023-10-01,Live Chat,8
838,Ivy Carter,Product Inquiry,2022-04-23,In-store,2
839,Ivy Carter,Technical Support,2023-06-28,Email,7
840,Grace Lee,Order Issue,2022-05-16,Social Media,6
841,Alice Johnson,General Inquiry,2022-11-26,In-store,1
842,Bob Williams,Technical Support,2022-03-17,Phone,10
843,Frank Miller,Feedback,2023-10-01,Phone,10
844,David Smith,General Inquiry,2023-03-14,Live Chat,1
845,Grace Lee,Technical Support,2023-03-27,In-store,1
846,David Smith,Order Issue,2023-06-24,Social Media,6
847,Ivy Carter,General Inquiry,2022-10-12,In-store,6
848,Charlie Brown,Feedback,2023-12-21,Social Media,1
849,Ivy Carter,Product Inquiry,2023-05-21,In-store,8
850,Henry Wilson,Technical Support,2022-08-17,In-store,1
851,Frank Miller,Feedback,2022-12-19,Live Chat,9
852,Emily Davis,Product Inquiry,2022-05-16,Live Chat,6
853,Emily Davis,Order Issue,2022-04-19,Email,9
854,Charlie Brown,Feedback,2022-03-12,Live Chat,1
855,Alice Johnson,Technical Support,2023-05-18,Social Media,2
856,Ivy Carter,Order Issue,2022-03-08,In-store,6
857,Henry Wilson,Feedback,2022-01-03,Phone,10
858,Emily Davis,Technical Support,2022-05-31,Live Chat,7
859,Jack Thompson,Technical Support,2023-09-29,Phone,10
860,Grace Lee,Technical Support,2022-04-12,In-store,8
861,Charlie Brown,Technical Support,2022-11-27,In-store,9
862,Charlie Brown,Product Inquiry,2023-11-04,Email,7
863,Frank Miller,Feedback,2023-10-25,Live Chat,5
864,David Smith,Feedback,2023-07-18,Phone,3
865,David Smith,Feedback,2023-09-08,Social Media,1
866,Jack Thompson,General Inquiry,2023-08-06,In-store,6
867,Alice Johnson,Feedback,2023-03-04,In-store,3
868,David Smith,Order Issue,2023-12-01,In-store,7
869,Charlie Brown,General Inquiry,2023-04-24,Live Chat,3
870,Frank Miller,Order Issue,2022-12-21,Phone,7
871,Henry Wilson,Order Issue,2023-01-17,In-store,5
872,Bob Williams,Feedback,2023-01-28,Email,10
873,Jack Thompson,Order Issue,2023-11-11,In-store,5
874,Jack Thompson,Product Inquiry,2022-08-30,Social Media,8
875,David Smith,General Inquiry,2022-03-01,Social Media,7
876,David Smith,Order Issue,2022-08-24,In-store,8
877,Charlie Brown,General Inquiry,2022-12-17,Live Chat,9
878,Henry Wilson,Feedback,2023-08-29,Social Media,3
879,Bob Williams,Feedback,2023-07-14,In-store,4
880,Ivy Carter,Order Issue,2023-12-10,Live Chat,5
881,Grace Lee,Product Inquiry,2023-05-27,Social Media,1
882,Charlie Brown,General Inquiry,2024-02-24,Social Media,6
883,Henry Wilson,Product Inquiry,2023-12-05,In-store,1
884,Bob Williams,Feedback,2022-12-17,Phone,3
885,Henry Wilson,Order Issue,2023-05-25,In-store,9
886,Ivy Carter,Technical Support,2022-06-06,Live Chat,9
887,Henry Wilson,Order Issue,2022-12-12,Live Chat,8
888,Frank Miller,Product Inquiry,2022-04-06,Email,4
889,Charlie Brown,Feedback,2022-05-17,Live Chat,3
890,Grace Lee,General Inquiry,2022-02-21,Phone,4
891,Grace Lee,Feedback,2023-05-31,Email,9
892,David Smith,General Inquiry,2022-07-26,Social Media,7
893,Henry Wilson,Feedback,2022-06-14,In-store,9
894,David Smith,General Inquiry,2022-01-25,Social Media,9
895,Charlie Brown,Feedback,2022-01-03,In-store,8
896,Alice Johnson,Product Inquiry,2023-10-26,Social Media,1
897,Alice Johnson,General Inquiry,2022-01-18,Live Chat,7
898,Ivy Carter,Order Issue,2022-02-03,Email,5
899,Jack Thompson,General Inquiry,2022-08-17,Phone,2
900,Frank Miller,Order Issue,2022-03-02,Live Chat,9
901,Bob Williams,General Inquiry,2024-02-08,In-store,1
902,Bob Williams,Feedback,2022-09-21,In-store,4
903,Frank Miller,General Inquiry,2023-09-19,Email,5
904,Jack Thompson,Order Issue,2022-03-12,In-store,6
905,Jack Thompson,Product Inquiry,2023-05-21,Email,1
906,Frank Miller,Product Inquiry,2023-11-12,Social Media,2
907,Grace Lee,Order Issue,2022-04-16,Live Chat,2
908,David Smith,General Inquiry,2022-12-21,Phone,1
909,Grace Lee,Feedback,2022-05-19,Phone,8
910,Henry Wilson,Product Inquiry,2023-08-12,Social Media,1
911,Henry Wilson,General Inquiry,2022-04-15,In-store,6
912,Emily Davis,Technical Support,2022-10-08,Live Chat,9
913,Alice Johnson,Product Inquiry,2023-04-09,In-store,8
914,Grace Lee,General Inquiry,2023-10-07,Email,10
915,Charlie Brown,Feedback,2022-03-01,In-store,3
916,Grace Lee,Feedback,2022-08-12,Email,7
917,Charlie Brown,Order Issue,2023-05-12,Live Chat,2
918,Emily Davis,Technical Support,2023-10-24,Social Media,2
919,Jack Thompson,Technical Support,2022-01-14,Email,4
920,Ivy Carter,Technical Support,2023-10-04,Phone,8
921,David Smith,Product Inquiry,2023-04-20,In-store,2
922,Charlie Brown,Order Issue,2023-10-08,Phone,5
923,David Smith,Order Issue,2022-06-11,Social Media,5
924,Charlie Brown,Order Issue,2022-04-19,In-store,3
925,Alice Johnson,Feedback,2022-05-30,Phone,8
926,Ivy Carter,Technical Support,2022-04-28,In-store,6
927,Frank Miller,General Inquiry,2022-08-04,Social Media,9
928,Jack Thompson,General Inquiry,2023-07-24,Social Media,10
929,Frank Miller,Order Issue,2023-02-24,Email,8
930,Charlie Brown,General Inquiry,2022-04-26,Live Chat,8
931,Charlie Brown,Order Issue,2023-02-23,Phone,7
932,Bob Williams,Product Inquiry,2022-11-11,Email,5
933,David Smith,Technical Support,2023-01-08,Social Media,1
934,Jack Thompson,General Inquiry,2022-11-18,Phone,7
935,David Smith,Order Issue,2022-05-12,Phone,10
936,David Smith,Order Issue,2023-04-07,Social Media,5
937,Grace Lee,Order Issue,2022-04-11,Email,7
938,Frank Miller,Product Inquiry,2023-02-01,Email,3
939,Henry Wilson,Feedback,2024-01-28,Social Media,3
940,Emily Davis,General Inquiry,2022-05-22,Phone,1
941,Alice Johnson,Product Inquiry,2022-12-02,Live Chat,10
942,Jack Thompson,Technical Support,2022-11-06,In-store,9
943,Alice Johnson,Product Inquiry,2023-01-01,Social Media,7
944,Charlie Brown,Product Inquiry,2023-05-04,Email,6
945,Emily Davis,Feedback,2024-02-29,In-store,4
946,Alice Johnson,Feedback,2023-06-07,Email,7
947,Alice Johnson,Technical Support,2023-04-28,Email,9
948,Grace Lee,Technical Support,2023-01-27,In-store,5
949,Charlie Brown,General Inquiry,2023-02-19,Email,10
950,Henry Wilson,Technical Support,2022-04-10,In-store,3
951,Bob Williams,Order Issue,2024-02-23,Email,9
952,Jack Thompson,Feedback,2023-03-08,In-store,5
953,Jack Thompson,General Inquiry,2023-10-10,Phone,6
954,Henry Wilson,General Inquiry,2022-02-08,Email,7
955,Ivy Carter,Technical Support,2023-03-17,Phone,8
956,Henry Wilson,General Inquiry,2022-08-20,Email,5
957,Jack Thompson,General Inquiry,2022-04-25,In-store,10
958,David Smith,Technical Support,2022-05-28,Phone,1
